City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Svetlogorsk,BY,52.6333,29.7333,32.5,95,95,6.69,overcast clouds
329,Sistranda,NO,63.7256,8.834,31.96,61,100,27.89,light snow
330,Ust-Tsilma,RU,65.441,52.1498,26.02,89,100,11.32,overcast clouds
331,Mehran,IR,33.1222,46.1646,62.67,36,35,17.52,scattered clouds
332,Itarema,BR,-2.9248,-39.9167,84.7,60,96,10.58,overcast clouds
333,Husavik,IS,66.0449,-17.3389,22.15,84,100,12.88,overcast clouds
334,Alofi,NU,-19.0595,-169.9187,81.46,74,12,13.22,few clouds
335,Ust-Nera,RU,64.5667,143.2,-34.49,99,62,3.83,broken clouds
336,Guerrero Negro,MX,27.9769,-114.0611,72.07,28,0,1.63,clear sky
337,Noumea,NC,-22.2763,166.4572,80.01,99,100,26.78,moderate rain
338,Ramona,US,33.0417,-116.8681,81.91,17,0,15.01,clear sky
339,Flinders,AU,-34.5833,150.8552,70.18,86,69,8.99,broken clouds
340,Lufilufi,WS,-13.8745,-171.5986,78.58,79,84,12.03,broken clouds
341,Araouane,ML,18.9048,-3.5265,70.99,13,12,11.54,few clouds
342,Lingyuan,CN,41.24,119.4011,26.46,53,0,5.7,clear sky
343,Beinamar,TD,8.6698,15.3813,79.61,9,49,5.39,scattered clouds
344,Ankang,CN,32.68,109.0172,41.02,71,95,3.4,overcast clouds
